word,meaning
afford,v. 给予，提供 n. (Afford)人名
underground,adv. 在地下 adj. 地下的 n. 地下
jacket,n. 羽绒滑雪衫 v. 给…穿夹克
address,v. 演说 n. 地址
pond,vt. 筑成池塘 vi. 筑成池塘 n. 池塘
vehicle,n. [车辆] 车辆
sausage,n. 香肠
interesting,adj. 有趣的
February,n. 二月
clothes,n. 衣服
southern,adj. 南的 n. 南方人
quarter,n. 四分之一 v. 住宿 num. 四分之一
machine,n. 机械，机器 v. 用机器制造
rainy,adj. 下雨的 n. (Rainy)人名
lion,n. 狮子
license,n. 执照，许可证 v. 许可
secretary,n. 秘书
supermarket,n. 超级市场
stairs,n. 楼梯
northern,adj. 北部的 n. 北部方言
classroom,n. 教室
sunny,adj. 阳光充足的，和煦的
seventh,n. 第七 adj. 第七的 adv. 居第七位地
hundred,n. 一百 adj. 一百的 num. 百
sofa,n. 沙发
ninth,num. 第九 adj. 第九的 n. 九分之一
postman,n. 邮递员
beside,prep. 在旁边
accident,n. 事故
football,n. 足球，橄榄球 vi. 踢足球
everyday,adj. 每天的，日常的 n. 平时
ourselves,pron. 我们自己
introduction,n. 介绍
dentist,n. 牙科医生
technology,n. 技术
butterfly,n. 蝴蝶
illness,n. 病
swimming,n. 游泳 adj. 游泳的 v. 游泳
noon,n. 中午
newspaper,n. 报纸
discovery,n. 发现，发觉
November,n. 十一月
Japanese,adj. 日本（人）的 n. 日本人
instruction,n. 指令，命令
supper,n. 晚餐，晚饭
fisherman,n. 渔夫
count,v. 计算 n. 计数
thirty,n. 三十年代 num. 三十 adj. 三十个的
dictionary,n. 字典
eighty,n. 八十 adj. 八十的，八十个的 num. 八十
twelfth,adj. 第十二的，第十二个的 n. 第十二
shorts,n. 短裤
lovely,adj. 可爱的 n. 美女
somewhere,adv. 在某处 n. 某个地方
healthy,adj. 健康的，健全的
twentieth,n. 二十分之一 adj. 第二十的 num. 第二十
pear,n. [园艺] 梨树
panda,n. 熊猫
progress,n. 进步，发展 v. 前进，进步
zebra,n. [脊椎] 斑马 adj. 有斑纹的
promise,n. 许诺，允诺 v. 允诺，许诺
traffic,n. 交通 v. 用…作交换
translate,v. 翻译
shoulder,n. 肩，肩膀 v. 肩负，承担
successful,adj. 成功的
stranger,n. 陌生人
watermelon,n. 西瓜
duck,n. 鸭子 v. 闪避
immediately,adv. 立即，立刻 conj. 一…就
chess,n. 国际象棋，西洋棋
discussion,n. 讨论，议论
lamb,n. 羔羊，小羊 v. 生小羊，产羔羊
plenty,n. 丰富，大量 adj. 足够的，很多的 adv. 足够
necessary,adj. 必要的 n. 必需品
population,n. 人口
university,n. 大学
thirsty,adj. 口渴的，口干的
Atlantic,n. 大西洋 adj. 大西洋的
comfortable,adj. 舒适的，舒服的 n. 盖被
silence,n. 沉默 v. 使沉默 int. 安静！
wealth,n. 财富
difficulty,n. 困难，困境
litter,n. 垃圾 v. 乱丢
strawberry,n. 草莓
dumpling,n. 饺子，汤团
friendship,n. 友谊
traditional,adj. 传统的
Monday,n. 星期一
pronounce,v. 发音
autumn,n. 秋天 adj. 秋天的，秋季的
airline,n. 航空公司 adj. 航线的
Japan,n. 日本（东亚国家名）
whenever,conj. 每当 adv. 不论何时
fourteen,num. 十四 n. 十四的记号
robot,n. 机器人
symbol,n. 象征
weekend,n. 周末，周末休假 adj. 周末的，周末用的 v. 度周末
dollar,n. 美元
useless,adj. 无用的
separate,v. 使分离 adj. 单独的 n. 分开
yourselves,pron. 你们自己
pleasant,adj. 令人愉快的，舒适的 n. (Pleasant)人名
eraser,n. 橡皮
shower,n. 淋浴 v. 大量地给予
raincoat,n. （美）雨衣
sixth,n. 月的第六日，（与the连用的）第六个 adj. （与 the 连用）第六的，第六个的
regret,n. 遗憾 v. 后悔
treasure,n. 财富，财产 v. 珍爱
plastic,adj. 塑料的 n. 塑料制品
noodle,n. 面条
riddle,v. 解谜 n. 谜语
thirteen,n. 十三 num. 十三 adj. 十三的
hungry,adj. 饥饿的
present,v. 提出 adj. 现在的 n. 现在
madam,n. 夫人
bathroom,n. 浴室
goat,n. 山羊
pronunciation,n. 发音
toilet,n. 厕所，盥洗室 vi. 梳妆，打扮 vt. 给…梳妆打扮
elder,n. 老人 adj. 年长的
encourage,v. 鼓励，怂恿
afternoon,n. 午后，下午
anywhere,adv. 在任何地方 n. 任何地方
granddaughter,n. 孙女
violin,n. 小提琴
airport,n. 机场
pencil,n. 铅笔 v. 用铅笔写
thousand,n. 一千 adj. 成千的
strange,adj. 奇怪的 adv. 奇怪地 n. (Strange)人名
twelve,n. 十二 num. 十二 adj. 十二的
surface,n. 表面 adj. 表面的，肤浅的 v. 浮出水面
chemistry,n. 化学
twenty,n. 二十 num. 二十 adj. 二十的
suggestion,n. 建议
interview,n. 接见，采访 v. 采访
these,pron. 这些 adj. 这些的
homework,n. 家庭作业，课外作业
chant,n. 圣歌 v. 唱
relation,n. 关系
percent,n. 百分比，百分率 adj. 百分之…的 adv. 以百分之…地
Christmas,n. 圣诞节
weekday,n. 平日，普通日
Canada,n. 加拿大（北美洲国家）
handsome,adj. （男子）英俊的
housework,n. 家务事
April,n. 四月
balloon,v. 激增 n. 气球 adj. 像气球般鼓起的
biscuit,n. 小点心，饼干
Asian,n. 亚洲人 adj. 亚洲的
lively,adj. 活泼的 n. (Lively)人名
frog,n. 青蛙 v. 捕蛙
toothache,n. [口腔] 牙痛
clever,adj. 聪明的
package,n. 包，包裹 adj. 一揽子的 v. 打包
experience,n. 经验 v. 经验
punish,v. 惩罚
scientist,n. 科学家
absent,adj. 缺席的 v. 使缺席
tomorrow,n. 明天 adv. 明天
Internet,n. 因特网
toothbrush,n. 牙刷
ceiling,n. 天花板
honest,adj. 诚实的，实在的
meaning,n. 意义 adj. 意味深长的 v. 意味
evening,n. 晚上 adj. 在晚上的 int. 晚上好（等于good evening）
pork,n. 猪肉 vt. 与女子性交
monkey,n. 猴子 v. 胡闹
factory,n. 工厂
Saturday,n. 星期六
trouble,n. 麻烦 v. 麻烦
cabbage,n. 卷心菜，甘蓝菜，洋白菜
correct,v. 改正 adj. 正确的
accent,n. 口音 v. 强调
oneself,pron. 自己
fourth,adj. 第四的，第四个的 n. 第四，月的第四日 num. 第四
cinema,n. 电影
downstairs,adv. 在楼下 adj. 楼下的 n. 楼下
neither,conj. 也不 adv. 两个都不 adj. 两者都不的 pron. 两者都不
influence,n. 影响 v. 影响
Sunday,n. 星期日
delicious,adj. 美味的
skate,v. 滑冰 n. 溜冰
golden,adj. 金色的，黄金般的 n. (Golden)人名
excuse,n. 借口 v. 原谅
lonely,adj. 寂寞的 n. 孤独者
silent,adj. 沉默的 n. 无声电影
grandson,n. 孙子
welcome,adj. 受欢迎的 n. 欢迎 v. 欢迎 int. 欢迎
India,n. 印度（南亚国家）
tomato,n. 番茄，西红柿
kite,n. 风筝 v. 使用空头支票
foreigner,n. 外地人，外国人
socks,n. 袜子（sock的复数）
those,adj. 那些的 pron. 那些（that的复数）
website,n. 网站（全球资讯网的主机站）
besides,adv. 此外 prep. 除…之外
eight,num. 八 adj. 八的 n. 八字形
seventy,n. 七十 adj. 七十的 num. 七十
themselves,pron. 他们自己
sleepy,adj. 欲睡的
sixteen,adj. 十六的，十六个的 num. 十六
pancake,n. 薄烤饼 vi. 平坠着陆 vt. 使平坠著陆
granny,n. 奶奶
seldom,adv. 很少，不常
telephone,n. （美）电话 v. 打电话
everything,pron. 每件事物
instead,adv. 代替
grammar,n. 语法
perfect,adj. 完美的 v. 使完美 n. 完成式
especially,adv. 特别
physics,n. 物理学
heaven,n. 天堂
fifteen,n. 十五 adj. 十五的 num. 十五
bedroom,n. 卧室 adj. 两性关系的
tiger,n. 老虎
television,n. 电视，电视机
friendly,adj. 友好的 adv. 友善地 n. (Friendly)人名
railway,n. （英）铁路 vi. 乘火车旅行
helpful,adj. 有帮助的
European,adj. 欧洲的 n. 欧洲人
yellow,adj. 黄色的 n. 黄色 v. 使变黄或发黄
mirror,n. 镜子 v. 反射
courage,n. 勇气
doll,n. 洋娃娃 v. 把…打扮得花枝招展
elephant,n. 象
gentleman,n. 先生
upstairs,adv. 在楼上，向楼上 adj. 楼上的 n. 楼上
vacation,n. 假期 v. 休假，度假
fifty,n. 五十 adj. 五十的
seven,num. 七个，七 n. 七个，七 adj. 七的
fridge,n. 电冰箱
scarf,n. 围巾 v. 披嵌接
development,n. 发展
fantastic,adj. 奇异的 n. 古怪的人
terrible,adj. 可怕的 adv. 很，非常
magazine,n. 杂志
repair,v. 修理 n. 修理，修补
everybody,pron. 每个人
victory,n. 胜利
competition,n. 竞争
pocket,n. 口袋 v. 隐藏 adj. 小型的，袖珍的
September,n. 九月
minute,n. 分，分钟 v. 将…记录下来 adj. 微小的，详细的 [maɪˈnjuːt
improve,v. 改善，增进
international,n. 国际组织 adj. 国际的
expensive,adj. 昂贵的
chairman,n. 主席，会长
government,n. 政府
bamboo,n. 竹，竹子 vt. 为…装上篾条 adj. 竹制的
December,n. 十二月
potato,n. [作物] 土豆，[作物] 马铃薯
achieve,v. 取得
cooker,n. 炊具
notebook,n. 笔记本，笔记簿
agreement,n. 协议
China,n. 中国 adj. 中国的
prevent,v. 预防，防止
ancient,adj. 古代的 n. 古代人
handbag,n. 手提包
three,n. 三，三个 num. 三 adj. 三的，三个的
January,n. 一月
orange,adj. 橙色的 n. 橙
October,n. [天] 十月
hamburger,n. 汉堡包，火腿汉堡
introduce,v. 介绍
ruler,n. 尺
pardon,n. 原谅 v. 原谅
grandchild,n. 孙子
excite,v. 激起
CD,abbr. 光盘，激光唱片（Compact Disc）
suppose,v. 假设 conj. 假使…结果会怎样
mention,v. 提到，谈到 n. 提及，说起
motorcycle,n. 摩托车 v. 骑摩托车
rubber,n. 橡胶 adj. 橡胶制成的 v. 涂橡胶于
someone,pron. 有人，某人
primary,adj. 主要的 n. 原色
difference,n. 差异
whale,v. 猛揍 n. 鲸
grape,n. 葡萄
Indian,adj. 印度的 n. 印度人
communicate,v. 通讯，传达
I,pron. 我 n. 碘元素
teacher,n. 教师
American,n. 美国人，美洲人 adj. 美国的，美洲的
advertisement,n. 广告，宣传
lemonade,n. 柠檬水
somebody,n. 大人物 pron. 有人
experiment,v. 尝试 n. 实验，试验
passage,n. 一段（文章）
ache,v. 疼痛 n. 疼痛
fifth,adj. 第五的 n. 第五 num. 第五
library,n. 图书馆，藏书室
palace,n. 宫殿
western,adj. 西方的，西部的 n. 西方人
excellent,adj. 卓越的
bitter,adj. 苦的 n. 苦味 adv. 激烈地 v. 使变苦
mountain,n. 山
third,num. 第三 adj. 第三的
playground,n. 运动场，操场
thread,n. 线 v. 穿过
recorder,n. 录音机
eighteen,n. 十八，十八个 adj. 十八个的，十八的 num. 十八
recite,v. 背诵
cloudy,adj. 多云的
background,n. 背景 v. 作…的背景 adj. 背景的
sentence,n. [语][计] 句子，命题 v. 判决，宣判
trousers,n. 裤子，长裤
dangerous,adj. 危险的
kilometer,n. [计量] 公里
Asia,n. 亚洲
temperature,n. 温度
chopsticks,n. 筷子
conference,n. 会议 vi. 举行或参加（系列）会议
praise,n. 赞扬 v. 赞美，歌颂
abroad,adv. 在国外 adj. 往国外的 n. 海外
aloud,adv. 大声地
eleven,n. 十一 adj. 十一的 num. 十一
boring,adj. 无聊的 n. 钻孔 v. 钻孔
cruel,adj. 残酷的，残忍的
nervous,adj. 神经的
Australia,n. 澳大利亚，澳洲
training,n. 训练 v. 训练
clone,n. 克隆 v. 无性繁殖，复制
sixty,num. 六十
exercise,n. 运动 v. 锻炼
village,n. 村庄
sweater,n. 毛线衣，运动衫
Thursday,n. 星期四
intention,n. 意图
mend,v. 修理，修补 n. 好转，改进
speaker,n. 演讲者
medicine,n. 药 v. 用药物治疗
soldier,n. 军人 v. 当兵
picnic,n. 野餐 v. 去野餐
Australian,adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人
tenth,num. 第十 adj. 十分之一的
invent,v. 发明
pacific,adj. 和平的 n. 太平洋
passport,n. 护照，通行证
London,n. 伦敦
cancel,v.  取消， 废除
fifty,num.  五十
England,n.  英格兰， 英国
pollution,n.  污染
pretend,v.  假装， 佯作
these,pron.  这些
postman,n.  邮递员
rabbit,n.  兔子
mystery,n.  秘密， 神秘的事物
yourselves,pron.  你们自己
lion,n.  狮子
eleven,num.  十一
newspaper,n.  报纸
eraser,n.  橡皮
achieve,v.  实现， 完成
anybody,pron.  任何人
yellow,adj. 黄的 n.  黄色
I,pron.  我
connect,v.  连接， 衔接
a,article. 一，一个〔用于未曾提及或对方不知道的人或物的名称前〕
address,n.  地址
nineteen,num.  十九， 十九个
straight,adj.  直的， 笔直的
ninety,num.  九十， 九十个
photograph,v.  拍照 n. 照片，相片
fifth,num. 第五 n.  五分之一
information,n.  信息， 资料
correct,adj. 正确的，对的 v.  改正， 纠正
conversation,n.  交谈， 谈话
European,adj. 欧洲的，欧洲人的 n.  欧洲人
strange,adj.  奇怪的， 奇异的
toast,v.  烘， 烤 n. 烤面包，吐司
frustrate,v.  使沮丧， 使灰心
creature,n.  生物， 动物， 人
outgoing,adj.  外出的， 离开的
instrument,n.  乐器
medium,adj. 中等的 n.  媒介， 工具
pear,n.  梨
treasure,v.  珍爱， 珍视 n. 财宝，珍品
airline,n.  航空公司
November,n.  十一月
umbrella,n.  伞， 雨伞
perform,v.  做， 履行， 完成
concentrate,v. 全神贯注，全力以赴 n.  浓缩物， 浓缩液
suitable,adj.  适当的， 相配的
magazine,n.  杂志， 期刊
pocket,v. 把…装入口袋 adj.  袖珍的， 小型的 n. 衣袋，口袋
pioneer,v.  开拓， 开创 n. 先驱者，倡导者
experiment,v.  进行试验， 做实验 n. 实验，试验
bulb,n.  植物的球茎
understand,v.  [understood-understood] 理解， 懂
dismiss,v.  不予考虑， 不接受
picnic,"v.  [picnicked-picnicked, picnicking] 去野餐 n. 野餐"
heaven,n. 天堂，
alright,adv.  好， 好吧
loving,adj.  爱的
unhappy,adj.  不快乐的
million,num. 百万
volleyball,n.  排球
southeast,adv. 向东南 adj.  东南方的， 东南部的， 来自东南的 n. 东南，东南
hundred,n. 百，一百个
queen,n.  女王， 王后
conjunction,n.  联合
documentary,adj. 文件的，文献的 n.  纪录片
peel,v. 削…的皮，剥…的壳 n.  皮
rose,n.  玫瑰， 蔷薇
thousand,num. 一千，一千个
manner,n. 方式，方法
charity,n.  慈善， 施舍
traffic,v.  交易 n. 流动的车辆或行人，交通
plenty,n.  丰富， 充足， 大量
tutor,v.  辅导 n. 导师
girlfriend,n.  女朋友
thirsty,adj.  口渴的
improve,v.  改进， 改善
university,n.  大学
teacher,n.  教师
twentieth,num. 第二十 n.  二十分之一
department,n.  部， 局， 处， 科
exhibition,n.  展览
English,adj.  英语的 n. 英语
lamb,n.  羔羊， 小羊
fantastic,adj.  极好的， 极出色的
unfamiliar,adj.  不熟悉的
spoken,adj.  口头的， 口语的
concert,n.  音乐会， 演奏会
discussion,n.  讨论， 谈论
unimportant,adj.  不重要的， 琐碎的
recycle,v.  回收利用， 再应用
welcome,v. 迎接，欢迎〔刚到达的人〕 adj. 〔某人〕受欢迎的 n. 欢迎，迎接 interjection. 欢迎〔用于对刚刚到达的人表示欢迎〕
Africa,n.  非洲
opposite,adj. 对面的，对立的，相反的 n.  对立面
bamboo,n.  竹， 竹子
difference,n.  差别， 差异
offend,v.  冒犯， 得罪
thirty,num.  三十， 三十个
polite,adj.  有礼貌的， 客气的
entertainment,n.  娱乐
battery,n.  电池， 蓄电池
accident,n.  意外遭遇， 事故
excuse,v.  原谅， 宽恕
kitchen,n.  厨房
latest,adj.  最近的
tragedy,n.  惨事， 灾难
purple,n&adj.  紫色
fashion,n.  流行款式， 时兴式样
friendship,n.  友谊， 友好
fridge,n.  电冰箱
anymore,adv.  再， 更， 还
unable,adj.  不能的， 不会的
avenue,n.  林荫道
eastern,adj.  东方的， 东部的
chess,n.  国际象棋， 棋
marathon,n.  马拉松长跑
jacket,n.  短上衣， 夹克
uncomfortable,adj.  不舒服的
district,n.  地区， 区域
scientist,n.  科学家
impossible,adj.  不可能的， 办不到的
schoolwork,n.  学校作业， 课堂作业
furry,adj.  毛皮的， 盖着毛皮的
teen,adj.  青少年的 n. 少年男女，青少年
engineer,n.  工程师， 机械师
supper,n.  晚餐
lifestyle,n.  生活方式
cabbage,n.  卷心菜， 洋白菜
three,num.  三， 三个
specifically,adv.  明确地， 特定地， 具体地
lonely,adj.  孤独的， 寂寞的
gallery,n.  画廊， 美术馆
destroy,v.  破坏， 毁灭
creative,adj.  创造性的， 具有创造力的
passenger,n.  乘客， 旅客
primary,adj.  最初的， 最早的
alien,adj. 外国的 n.  外国人
tourist,n.  旅游者， 观光者
wealth,n.  财富， 财产
wallet,n.  皮夹子
doll,n.  玩偶， 玩具娃娃
centre,v.  集中于 n. 圆心，正中
tennis,n.  网球
fetch,v.  拿来
fiction,n.  小说
sixteenth,num. 第十六 n.  十六分之一
stomach,v.  承受， 忍受 n. 胃，胃口
appointment,n.  约会
experience,v.  经历， 体验， 感受 n. 经历，阅历
worldwide,adv.  在世界各地， 在全世界 adj. 世界范围的，全世界的
eighty,num.  八十
housework,n.  家务劳动
particular,adj.  特定的， 某一的
August,n.  八月
percent,adj.  百分之… n. 百分比，百分率
thirteen,num.  十三， 十三个
sixteen,num.  十六， 十六个
eighth,num. 第八 n.  八分之一
someone,pron.  有人， 某人
third,num. 第三 n.  三分之一
schoolbag,n.  书包
chopsticks,n.  筷子
casually,adv.  偶然地
railway,n.  铁道， 铁路
strict,adj.  严格的， 严厉的
modest,adj.  谦虚的， 谨慎的
sofa,n.  沙发
festival,n.  节， 节日， 喜庆日
opportunity,n.  机会， 良机
pancake,n.  薄煎饼， 烙饼
population,n.  人口
Monday,n.  星期一
relative,adj. 相对的 n.  亲属， 亲戚
attitude,n.  态度
mirror,v.  反映 n. 镜子
compare,n&v.  比较
October,n.  十月
junk,v.  丢弃， 废弃 n. 废旧物品，破烂
waiter,n.  侍者， 服务员
purse,n.  钱包
spotlight,v.  用聚光灯照 n. 聚光灯
quarter,n. 四分之一
promise,v. 允诺，答应 n.  承诺， 诺言
passport,n.  护照
lookout,n.  警戒， 监视
possibly,adv.  大概， 也许
planet,n.  行星
count,v.  点…的数目， 计算
misleading,adj.  令人误解的， 导致错误结论的
importance,n.  重要
hometown,adj.  家乡的 n. 家乡
custom,n. 习惯，风俗
permission,n.  许可， 允许
adverb,n.  副词
thirteenth,num. 第十三 n.  十三分之一
December,n.  十二月
balance,v.  使平衡， 使均衡 n. 天平，称
cookie,n.  饼干
Canada,n.  加拿大
afford,v.  买得起， 负担得起
underground,adj. 地下的 n.  〈英〉地铁
baseball,n.  棒球
thief,n.  贼， 小偷
embarrassed,adj.  尴尬的， 为难的
unpleasant,adj.  使人不愉快的， 厌恶的
eight,num.  八
mention,n&v.  提及， 说起
barbecue,v.  在烤架上烧烤 n. 烧烤野餐
stream,v.  流， 涌 n. 小河，溪流
illness,n.  病， 疾病
twenty,num.  二十， 二十个
cigarette,n.  香烟
positive,adj.  积极的， 正面的
machine,n.  机器， 机械
evening,n.  傍晚， 晚上
mend,v.  修理， 修补
instance,n.  例子， 实例， 事例
opera,n.  歌剧
thrill,n.  兴奋， 激动
solution,n.  解决， 解答， 解决办法
international,adj.  国际的， 世界的
terrible,adj.  极度的， 厉害的
combine,v. 联合，结合 n.  联合企业
turtle,n.  海龟
comedy,n.  喜剧， 喜剧性
pleasant,adj.  舒适的
equipment,n.  装备， 配备
dentist,n.  牙科医生
trash,n.  垃圾， 废物
convenient,adj.  方便的， 便利的
background,n.  出身背景， 经历
handsome,adj.  漂亮的， 英俊的
dangerous,adj.  危险的， 不安全的
native,adj. 出生地的 n.  土生土长者， 本国人
nervous,adj.  神经紧张的， 情绪不安的
microwave,n.  微波
structure,v.  构造， 建造 n. 结构，构造
outdoor,adv.  在户外， 在野外 adj. 户外的，野外的
orange,adj.  橙色的 n. 橙，柑，橘
online,adj.  在线的
writer,n.  作者， 作家
weekday,n.  平常日， 工作日
theatre,n.  戏院， 剧场
meaning,n.  意思， 含义
Brazilian,adj.  巴西的 n. 巴西人
height,n.  高， 高度
invent,v.  发明， 创造
wonderful,adj.  极好的
tiger,n.  虎
labor,n.  劳动
shower,v.  洗淋浴 n. 淋浴
examine,v.  检查
association,n.  协会， 联盟， 社团
cute,adj.  漂亮的， 娇小可爱的
temperature,n.  温度
wolf,n.  狼
transportation,n.  运输， 运输系统
everyday,adj.  每天的
progress,v.  前进， 行进
Australia,n.  澳大利亚
seven,num.  七， 七个
whenever,conj.  无论何时， 随时
suitcase,n.  手提箱， 衣箱
hunger,v.  渴望， 渴望得到 n. 饿，饥饿
laboratory,n.  实验室， 研究室
vegetable,adj.  蔬菜的 n. 蔬菜
Russia,n.  俄国， 俄罗斯
common,adj.  共同的
China,n.  中国
themselves,pron.  他们自己
comment,v.  评论 n. 评论，意见
relation,n.  关系， 关联
elevator,n.  电梯
calculator,n.  计算器
biology,n.  生物学
toward,prep.  向， 朝， 面对
math,n.  数学
monkey,n.  猴子
favorite,adj.  特别喜爱的 n. 特别喜欢的人或事物
ourselves,pron.  我们自己
foreign,adj.  外国的， 外国产的
uniform,adj.  相同的， 一致的 n. 制服
indoors,adv.  在屋内， 在室内
homework,n.  家庭作业， 课后作业
opinion,n.  意见， 主张
comma,n.  逗号
soldier,n.  士兵， 军人
perfect,adj.  完美的， 无瑕的
basketball,n.  篮球
frog,n.  蛙
theater,n.  戏院， 剧场
discover,v.  发现， 发觉
Japan,n.  日本
excite,v.  使兴奋
pond,n.  池塘
repair,v.  修理， 修补 n. 修理，修补
scientific,adj.  科学的， 科学上的
elder,adj. 年龄较大的，年长的
terrorist,n.  恐怖主义者
attendant,adj.  伴随的， 随之而产生的 n. 服务人员，侍者
February,n.  二月
advantage,n.  优点， 好处， 优势
assistant,adj.  助理的， 辅助的 n. 助手
instead,adv.  作为替代， 顶替
expensive,adj.  昂贵的， 花钱多的
dessert,n.  甜食， 甜点
carrot,n.  胡萝卜
bicycle,v.  骑自行车 n. 自行车
kangaroo,n.  袋鼠
resolution,n.  正式决定， 决议
absent,adj.  缺席的， 不在场的
educate,v.  教育
excellent,adj.  优秀的， 卓越的， 杰出的
lighting,n.  照明
airport,n.  机场
poster,n.  招贴， 海报， 广告
hobby,n.  业余爱好， 嗜好
southern,adj.  南方的， 南部的
throat,n.  咽喉， 嗓子
immediately,adv.  立即， 马上
pork,n.  猪肉
symphony,n.  交响乐， 交响曲
dollar,n.  美元
hungry,adj.  饥饿的， 感到饿的
French,n. 法国人
vocabulary,n.  词汇
retire,v.  退休， 退役
aggressive,adj.  侵犯的， 侵略的， 挑衅的
chemistry,n.  化学
unfriendly,adj.  不友好的， 冷漠的
fourteenth,num. 第十四 n.  十四分之一
photo,n.  照片
handbag,n.  手提包
thirtieth,num. 第三十 n.  三十分之一
communicate,v.  通信
duck,vi.  鸭子似的突然扎入水中 n. 鸭
cruel,adj.  残忍的， 残暴的
ninth,num. 第九 n.  九分之一
seventeenth,num. 第十七 n.  十七分之一
ache,v. 痛，疼痛 n.  疼痛
therefore,adv.  因此， 所以
exchange,v.  调换， n. 交换，互换
bored,adj.  无聊的， 无趣的
blackboard,n.  黑板
prevent,v.  阻止， 妨碍
behave,v.  表现
medal,n.  奖牌， 奖章
forty,num.  四十
mistake,n. 〔行为、看法、言辞等上的〕错误 v. 弄错，误解，误会
praise,v. 赞扬，表扬 n.  称赞， 赞美
environment,n.  周围状况， 环境
Asia,n.  亚洲
airplane,n.  飞机
pronounce,v.  发音
popcorn,n.  爆米花
punish,v.  惩罚， 处罚
seventy,num.  七十， 七十个
seventh,num. 第七 n.  七分之一
silver,v.  镀银 n. 银
singer,n.  歌手
confident,adj.  确信的， 肯定的
holiday,n.  假期， 假日
courage,n.  勇气， 胆量
encourage,v.  鼓励
potato,n. 马铃薯，土豆
restroom,n.  洗手间
polar,adj.  地极的， 近地极的
shark,n.  鲨鱼
chairman,n.  主席
